Pr Age45-64 Age65+ SexMale SmokingYes ComorbidityYes
0 0 0 0 0 0
0.048 0 0 0 0 0
0.100068491032917 1 0 0 0 0
0.196934740811117 0 1 0 0 0
0.0501116697451915 0 0 1 0 0
0.104220047009059 1 0 1 0 0
0.204193162740077 0 1 1 0 0
0.0988657221036934 0 0 0 1 0
0.194819738748731 1 0 0 1 0
0.347943469553209 0 1 0 1 0
0.102973088288232 0 0 1 1 0
0.202019817895124 1 0 1 1 0
0.358284490869362 0 1 1 1 0
0.0530680681901062 0 0 0 0 1
0.109998972595259 1 0 0 0 1
0.214190033058881 0 1 0 0 1
0.0553897256913484 0 0 1 0 1
0.114510093344813 1 0 1 0 1
0.221908695137431 0 1 1 0 1
0.108691260521874 0 0 0 1 1
0.21193862279929 1 0 0 1 1
0.37229610479582 0 1 0 1 1
0.113155569822991 0 0 1 1 1
0.219598824948075 1 0 1 1 1
0.382935844900359 0 1 1 1 1
