"","CFR mean (95% CI)","IFR mean (95% CI)"
"2020-04-01","0.012 (0.0109,0.0137)","0.0016 (0.0015,0.0018)"
"2020-04-10","0.0189 (0.0181,0.0207)","0.0025 (0.0024,0.0028)"
"2020-04-20","0.0247 (0.0235,0.0263)","0.0033 (0.0031,0.0035)"
"2020-05-01","0.0291 (0.0274,0.0307)","0.0039 (0.0037,0.0041)"
"2020-05-15","0.0315 (0.0304,0.0328)","0.0042 (0.0041,0.0044)"
"2020-06-01","0.0305 (0.029,0.0316)","0.0041 (0.0039,0.0042)"
"2020-06-15","0.0288 (0.0274,0.0296)","0.0039 (0.0036,0.004)"
"2020-07-01","0.0275 (0.0262,0.0283)","0.0037 (0.0035,0.0038)"
"2020-07-15","0.0265 (0.025,0.0275)","0.0035 (0.0033,0.0037)"
"2020-08-01","0.0267 (0.0251,0.0278)","0.0036 (0.0033,0.0037)"
"2020-08-15","0.0274 (0.0259,0.0286)","0.0037 (0.0035,0.0038)"
"2020-09-01","0.0287 (0.0274,0.0298)","0.0038 (0.0036,0.004)"
"2020-09-15","0.0295 (0.0282,0.0305)","0.0039 (0.0038,0.0041)"
"2020-10-01","0.0302 (0.0291,0.0311)","0.004 (0.0039,0.0042)"
"2020-10-15","0.0305 (0.0295,0.0314)","0.0041 (0.0039,0.0042)"
