"","Pr","age.0.19","Age20.44","Age45.64","Age65.","SexMale","SmokingYes","ComorbidityYes"
"1",0.103,0,1,0,0,0,0,0
"2",0.146483552248417,0,0,1,0,0,0,0
"3",0.204146629941519,0,0,0,1,0,0,0
"4",0.105037463679501,0,1,0,0,1,0,0
"5",0.149238064502501,0,0,1,0,1,0,0
"6",0.207721562444445,0,0,0,1,1,0,0
"7",0.173054445314579,0,1,0,0,0,1,0
"8",0.238257347872573,0,0,1,0,0,1,0
"9",0.318563297187984,0,0,0,1,0,1,0
"10",0.176205453037108,0,1,0,0,1,1,0
"11",0.242247792679802,0,0,1,0,1,1,0
"12",0.32332784662332,0,0,0,1,1,1,0
"13",0.161131082988571,0,1,0,0,0,0,1
"14",0.223053293557636,0,0,1,0,0,0,1
"15",0.300254590160839,0,0,0,1,0,0,1
"16",0.164108072142675,0,1,0,0,1,0,1
"17",0.226864932956335,0,0,1,0,1,0,1
"18",0.30486781738231,0,0,0,1,1,0,1
"19",0.259293858363522,0,1,0,0,0,1,1
"20",0.343492969580967,0,0,1,0,0,1,1
"21",0.438834986499482,0,0,0,1,0,1,1
"22",0.263514748802065,0,1,0,0,1,1,1
"23",0.34843972282227,0,0,1,0,1,1,1
"24",0.444225715355848,0,0,0,1,1,1,1
"25",0.025,1,0,0,0,1,0,0
"26",0.025,1,0,0,0,0,0,0
