"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","age.0.19","Age20.44","Age45.64","Age65.","SexMale","SmokingYes","ComorbidityYes"
"1",0.094,0.109,0.106,0.1,0.122,0.124,0.114,0.098,0.094,0,1,0,0,0,0,0
"2",0.057,0.086,0.097,0.067,0.091,0.058,0.095,0.069,0.081,0,0,1,0,0,0,0
"3",0.007,0.02,0.019,0.012,0.031,0.008,0.019,0.016,0.013,0,0,0,1,0,0,0
"4",0.072,0.101,0.09,0.11,0.127,0.103,0.107,0.088,0.112,0,1,0,0,1,0,0
"5",0.049,0.082,0.076,0.066,0.067,0.052,0.055,0.061,0.07,0,0,1,0,1,0,0
"6",0.003,0.016,0.019,0.014,0.024,0.007,0.018,0.015,0.015,0,0,0,1,1,0,0
"7",0.016,0.012,0.007,0.014,0.009,0.013,0.01,0.013,0.015,0,1,0,0,0,1,0
"8",0.015,0.013,0.01,0.016,0.008,0.01,0.007,0.01,0.015,0,0,1,0,0,1,0
"9",0.001,0.001,0.005,0.003,0.001,0.002,0,0.002,0.003,0,0,0,1,0,1,0
"10",0.012,0.009,0.005,0.015,0.009,0.015,0.007,0.009,0.009,0,1,0,0,1,1,0
"11",0.015,0.011,0.009,0.015,0.008,0.013,0.009,0.01,0.015,0,0,1,0,1,1,0
"12",0.003,0.002,0.005,0.004,0.002,0.002,0.001,0.001,0.002,0,0,0,1,1,1,0
"13",0.098,0.062,0.071,0.07,0.07,0.086,0.065,0.078,0.075,0,1,0,0,0,0,1
"14",0.103,0.094,0.103,0.092,0.082,0.088,0.091,0.123,0.1,0,0,1,0,0,0,1
"15",0.031,0.036,0.036,0.029,0.041,0.022,0.034,0.033,0.032,0,0,0,1,0,0,1
"16",0.085,0.06,0.072,0.094,0.068,0.086,0.072,0.074,0.072,0,1,0,0,1,0,1
"17",0.1,0.092,0.094,0.094,0.086,0.091,0.088,0.11,0.092,0,0,1,0,1,0,1
"18",0.022,0.044,0.036,0.032,0.043,0.025,0.033,0.042,0.027,0,0,0,1,1,0,1
"19",0.022,0.005,0.005,0.009,0.005,0.013,0.007,0.008,0.009,0,1,0,0,0,1,1
"20",0.032,0.013,0.012,0.016,0.012,0.012,0.01,0.015,0.009,0,0,1,0,0,1,1
"21",0.007,0.003,0.006,0.006,0.004,0.003,0.004,0.008,0.005,0,0,0,1,0,1,1
"22",0.018,0.007,0.006,0.014,0.005,0.009,0.01,0.008,0.007,0,1,0,0,1,1,1
"23",0.024,0.014,0.009,0.018,0.009,0.017,0.015,0.017,0.019,0,0,1,0,1,1,1
"24",0.007,0.005,0.006,0.005,0.006,0.007,0.004,0.005,0.006,0,0,0,1,1,1,1
"25",0.058,0.046,0.049,0.039,0.033,0.06,0.055,0.038,0.041,1,0,0,0,1,0,0
"26",0.05,0.059,0.047,0.046,0.041,0.073,0.069,0.05,0.062,1,0,0,0,0,0,0
