"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","Age0.19","Age20.44","Age45.64","Age65.","ObesityBMI.30","ObesityBMI30.40","ObesityBMI.40","SmokingYes","ComorbidityYes"
"1",0.143,0.139,0.15,0.123,0.098,0.192,0.189,0.131,0.149,1,0,0,0,1,0,0,0,0
"2",0.002,0.002,0,0,0,0.002,0.001,0.001,0.001,1,0,0,0,0,1,0,0,0
"3",0.001,0,0,0,0,0.003,0.001,0.001,0,1,0,0,0,0,0,1,0,0
"4",0.101,0.142,0.131,0.139,0.176,0.12,0.126,0.13,0.151,0,1,0,0,1,0,0,0,0
"5",0.082,0.114,0.118,0.103,0.146,0.069,0.098,0.104,0.11,0,0,1,0,1,0,0,0,0
"6",0.02,0.03,0.032,0.017,0.05,0.016,0.021,0.029,0.022,0,0,0,1,1,0,0,0,0
"7",0.023,0.019,0.02,0.031,0.014,0.046,0.037,0.015,0.024,0,1,0,0,0,1,0,0,0
"8",0.015,0.021,0.023,0.013,0.011,0.028,0.028,0.02,0.023,0,0,1,0,0,1,0,0,0
"9",0.002,0,0.005,0.001,0.005,0.003,0.005,0.003,0.002,0,0,0,1,0,1,0,0,0
"10",0.006,0.009,0.003,0.008,0.004,0.012,0.009,0.005,0.004,0,1,0,0,0,0,1,0,0
"11",0.005,0.005,0.004,0.002,0.003,0.006,0.005,0.006,0.004,0,0,1,0,0,0,1,0,0
"12",0.001,0,0,0,0.001,0.001,0,0.001,0,0,0,0,1,0,0,1,0,0
"13",0.047,0.029,0.024,0.038,0.029,0.027,0.028,0.034,0.031,0,1,0,0,1,0,0,1,0
"14",0.013,0.013,0.014,0.014,0.01,0.011,0.005,0.015,0.014,0,0,1,0,1,0,0,1,0
"15",0.001,0.001,0,0,0.001,0.001,0,0,0.001,0,0,0,1,1,0,0,1,0
"16",0.007,0.004,0.003,0.005,0.003,0.004,0.004,0.004,0.008,0,1,0,0,0,1,0,1,0
"17",0.004,0.002,0.003,0.002,0.001,0.005,0.003,0.002,0.001,0,0,1,0,0,1,0,1,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"19",0.003,0,0.001,0.003,0,0.003,0.002,0.001,0,0,1,0,0,0,0,1,1,0
"20",0.001,0,0,0.001,0,0,0,0,0.001,0,0,1,0,0,0,1,1,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"22",0.112,0.107,0.101,0.129,0.12,0.107,0.091,0.097,0.103,0,1,0,0,1,0,0,0,1
"23",0.155,0.164,0.158,0.157,0.159,0.104,0.124,0.16,0.145,0,0,1,0,1,0,0,0,1
"24",0.059,0.064,0.078,0.061,0.09,0.033,0.059,0.08,0.064,0,0,0,1,1,0,0,0,1
"25",0.022,0.027,0.021,0.023,0.013,0.045,0.028,0.022,0.021,0,1,0,0,0,1,0,0,1
"26",0.051,0.029,0.041,0.037,0.019,0.065,0.049,0.034,0.032,0,0,1,0,0,1,0,0,1
"27",0.009,0.013,0.012,0.009,0.007,0.015,0.018,0.011,0.013,0,0,0,1,0,1,0,0,1
"28",0.007,0.003,0.007,0.008,0.005,0.011,0.01,0.009,0.008,0,1,0,0,0,0,1,0,1
"29",0.011,0.007,0.009,0.011,0.003,0.016,0.014,0.008,0.013,0,0,1,0,0,0,1,0,1
"30",0.004,0.002,0.002,0.001,0.002,0.003,0.005,0.004,0.003,0,0,0,1,0,0,1,0,1
"31",0.038,0.023,0.014,0.029,0.016,0.023,0.019,0.027,0.023,0,1,0,0,1,0,0,1,1
"32",0.031,0.019,0.013,0.019,0.01,0.013,0.008,0.022,0.013,0,0,1,0,1,0,0,1,1
"33",0.003,0,0.002,0.001,0,0.001,0,0.003,0.002,0,0,0,1,1,0,0,1,1
"34",0.009,0.003,0.004,0.004,0.002,0.008,0.004,0.006,0.005,0,1,0,0,0,1,0,1,1
"35",0.007,0.004,0.003,0.003,0.001,0.004,0.003,0.007,0.005,0,0,1,0,0,1,0,1,1
"36",0.001,0,0.001,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"37",0.003,0,0,0.003,0,0.004,0,0.002,0.001,0,1,0,0,0,0,1,1,1
"38",0.003,0.002,0.001,0,0.001,0.001,0.001,0.002,0.001,0,0,1,0,0,0,1,1,1
"39",0.001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
