Pr Age45-64 Age65+ SexMale SmokingYes ComorbidityYes
0.025 0 0 0 0 0
0.103 0 0 0 0 0
0.146483552248417 1 0 0 0 0
0.204146629941519 0 1 0 0 0
0.105037463679501 0 0 1 0 0
0.149238064502501 1 0 1 0 0
0.207721562444445 0 1 1 0 0
0.173054445314579 0 0 0 1 0
0.238257347872573 1 0 0 1 0
0.318563297187984 0 1 0 1 0
0.176205453037108 0 0 1 1 0
0.242247792679802 1 0 1 1 0
0.32332784662332 0 1 1 1 0
0.161131082988571 0 0 0 0 1
0.223053293557636 1 0 0 0 1
0.300254590160839 0 1 0 0 1
0.164108072142675 0 0 1 0 1
0.226864932956335 1 0 1 0 1
0.30486781738231 0 1 1 0 1
0.259293858363522 0 0 0 1 1
0.343492969580967 1 0 0 1 1
0.438834986499482 0 1 0 1 1
0.263514748802065 0 0 1 1 1
0.34843972282227 1 0 1 1 1
0.444225715355848 0 1 1 1 1
