Pr Age45-64 Age65+ SexMale SmokingYes ComorbidityYes
0 0 0 0 0 0
0.202 0 0 0 0 0
0.258663796374798 1 0 0 0 0
0.324753953790523 0 1 0 0 0
0.241218930376115 0 0 1 0 0
0.30468372396066 1 0 1 0 0
0.376559620021922 0 1 1 0 0
0.324878383580005 0 0 0 1 0
0.398785968722568 1 0 0 1 0
0.477612392525986 0 1 0 1 0
0.376692826019093 0 0 1 1 0
0.454453217294581 1 0 1 1 0
0.534500640960153 0 1 1 1 0
0.217399481936645 0 0 0 0 1
0.276884204710502 1 0 0 0 1
0.345460372992138 0 1 0 0 1
0.258639229145257 0 0 1 0 1
0.324725859019233 1 0 1 0 1
0.398619233155071 0 1 1 0 1
0.345588676032793 0 0 0 1 1
0.421267822024348 1 0 0 1 1
0.500836192679822 0 1 0 1 1
0.398755251488998 0 0 1 1 1
0.477580426697741 1 0 1 1 1
0.557538308964856 0 1 1 1 1
