nvx_t,nvx_y,nvx_y_MED,nvx_y_SLOW,nvx_y_FAST,r_t,r_y,Beta_y,Beta_t
2020-03-01,0,0,0,0,2020-03-01,r1,mu.0,2020-03-01
2020-12-14,0,0,0,0,2020-04-15,r1,mu.0,2020-03-01
2020-12-15,0,8500,8500,8500,2020-08-15,r2,mu.0,2020-03-12
2021-01-19,0,8500,8500,8500,2020-10-20,r2,mu.1,2020-03-27
2021-01-20,0,20000,10000,50000,2021-10-20,r2,mu.1,2020-04-27
2021-09-01,0,20000,10000,50000,,,mu.2,2020-05-15
2021-09-02,0,0,10000,0,,,mu.2,2020-06-15
2022-12-15,0,0,10000,0,,,mu.2,2020-06-16
,,,,,,,mu.2,2020-07-01
,,,,,,,mu.1,2020-08-15
,,,,,,,mu.1,2020-10-01
,,,,,,,mu.1,2020-10-25
,,,,,,,mu.2,2020-10-26
,,,,,,,mu.3,2020-10-27
,,,,,,,mu.3,2020-12-15
,,,,,,,mu.3,2020-12-16
,,,,,,,mu.3,2021-01-01
,,,,,,,mu.4,2021-01-02
,,,,,,,mu.4,2021-01-03
,,,,,,,mu.5,2021-01-15
,,,,,,,mu.5,2021-01-16
,,,,,,,mu.5,2021-05-02
,,,,,,,mu.5,2021-12-02
,,,,,,,mu.5,2021-12-09
