nvx_t,nvx_y,nvx_y_MED,nvx_y_SLOW,nvx_y_FAST,r_t,r_y,Beta_y_old,Beta_t_old,,Beta_y,Beta_t
2020-03-01,0,0,0,0,2020-03-01,r1,mu.0,2020-03-01,,,2020-03-01
2020-12-14,0,0,0,0,2020-04-15,r1,mu.0,2020-03-01,,,2020-03-08
2020-12-15,0,8500,8500,8500,2020-08-15,r2,mu.0,2020-03-12,,,2020-03-15
2021-01-19,0,8500,8500,8500,2020-10-20,r2,mu.1,2020-03-27,,,2020-03-22
2021-01-20,0,20000,10000,50000,2021-10-20,r2,mu.1,2020-04-27,,,2020-03-29
2021-09-01,0,20000,10000,50000,,,mu.2,2020-05-15,,,2020-04-05
2021-09-02,0,0,10000,0,,,mu.2,2020-06-15,,,2020-04-12
2022-12-15,0,0,10000,0,,,mu.2,2020-06-16,,,2020-04-19
,,,,,,,mu.2,2020-07-01,,,2020-04-26
,,,,,,,mu.1,2020-08-15,,,2020-05-03
,,,,,,,mu.1,2020-10-01,,,2020-05-10
,,,,,,,mu.1,2020-10-25,,,2020-05-17
,,,,,,,mu.2,2020-10-26,,,2020-05-24
,,,,,,,mu.3,2020-10-27,,,2020-05-31
,,,,,,,mu.3,2020-12-15,,,2020-06-07
,,,,,,,mu.3,2020-12-16,,,2020-06-14
,,,,,,,mu.3,2021-01-01,,,2020-06-21
,,,,,,,mu.4,2021-01-02,,,2020-06-28
,,,,,,,mu.4,2021-01-03,,,2020-07-05
,,,,,,,mu.5,2021-01-15,,,2020-07-12
,,,,,,,mu.5,2021-01-16,,,2020-07-19
,,,,,,,mu.5,2021-05-02,,,2020-07-26
,,,,,,,mu.5,2021-12-02,,,2020-08-02
,,,,,,,mu.5,2021-12-09,,,2020-08-09
,,,,,,,,,,,2020-08-16
,,,,,,,,,,,2020-08-23
,,,,,,,,,,,2020-08-30
,,,,,,,,,,,2020-09-06
,,,,,,,,,,,2020-09-13
,,,,,,,,,,,2020-09-20
,,,,,,,,,,,2020-09-27
,,,,,,,,,,,2020-10-04
,,,,,,,,,,,2020-10-11
,,,,,,,,,,,2020-10-18
,,,,,,,,,,,2020-10-25
,,,,,,,,,,,2020-11-01
,,,,,,,,,,,2020-11-08
,,,,,,,,,,,2020-11-15
,,,,,,,,,,,2020-11-22
,,,,,,,,,,,2020-11-29
,,,,,,,,,,,2020-12-06
,,,,,,,,,,,2020-12-13
,,,,,,,,,,,2020-12-20
,,,,,,,,,,,2020-12-27
,,,,,,,,,,,2021-01-03
,,,,,,,,,,,2021-01-10
,,,,,,,,,,,2021-01-17
,,,,,,,,,,,2021-01-24
,,,,,,,,,,,2021-01-31
,,,,,,,,,,,2021-02-07
,,,,,,,,,,,2021-02-14
,,,,,,,,,,,2021-02-21
