"","CFR mean (95% CI)","IFR mean (95% CI)"
"2020-03-01","0.006 (0,0.0128)","0.0013 (0,0.0036)"
"2020-03-15","0.0062 (0.0036,0.0087)","0.0013 (0.0005,0.003)"
"2020-04-01","0.0118 (0.0093,0.0143)","0.0026 (0.0012,0.0055)"
"2020-04-15","0.0207 (0.017,0.0246)","0.0045 (0.0022,0.0097)"
"2020-05-01","0.0271 (0.0221,0.0319)","0.0059 (0.0029,0.0125)"
"2020-05-15","0.0292 (0.0237,0.0344)","0.0063 (0.003,0.0135)"
"2020-06-01","0.0275 (0.0215,0.0327)","0.0059 (0.0029,0.0124)"
"2020-06-15","0.0246 (0.0185,0.0301)","0.0053 (0.0025,0.0108)"
"2020-07-01","0.0217 (0.0155,0.0277)","0.0046 (0.0021,0.0091)"
"2020-07-15","0.02 (0.0139,0.0265)","0.0042 (0.0019,0.008)"
"2020-08-01","0.019 (0.013,0.0257)","0.004 (0.0018,0.0073)"
"2020-08-15","0.0189 (0.0129,0.0256)","0.004 (0.0018,0.0072)"
"2020-09-01","0.0191 (0.0132,0.0259)","0.004 (0.0018,0.0072)"
"2020-09-15","0.0193 (0.0133,0.0262)","0.004 (0.0018,0.0072)"
"2020-10-01","0.0194 (0.0134,0.0265)","0.0041 (0.0018,0.0073)"
"2020-10-15","0.0195 (0.0135,0.0266)","0.0041 (0.0018,0.0073)"
"2020-11-01","0.0194 (0.0134,0.0265)","0.004 (0.0018,0.0072)"
"2020-11-15","0.0192 (0.0132,0.0264)","0.004 (0.0018,0.0071)"
"2020-12-01","0.0191 (0.0131,0.0263)","0.004 (0.0018,0.007)"
"2020-12-15","0.0189 (0.0129,0.0263)","0.0039 (0.0018,0.0069)"
