"","Profile","Group","age","BMI","smoking","comorbidity","Pop.Prev","P(H|I).May.15","P(H|I).Aug.1","P(H|I).Oct.15","P(Q|H).May.15","P(Q|H).Aug.1","P(Q|H).Oct.15","P(D|Q).May.15","P(D|Q).Aug.1","P(D|Q).Oct.15"
"1",36,"Risk 1","65+","30<BMI<40","Smoker","Comorbidity",0.0003,0.4702,0.3053,0.311,0.7712,0.7685,0.7699,0.8339,0.8282,0.8299
"2",30,"Risk 2","65+","BMI>40","Non Smoker","Comorbidity",0.0023,0.4777,0.3117,0.3175,0.6866,0.6833,0.685,0.7433,0.7356,0.7379
"3",38,"Risk 2","45-64","BMI>40","Smoker","Comorbidity",0.0012,0.4877,0.3204,0.3262,0.6972,0.694,0.6957,0.6991,0.6906,0.6932
"4",33,"Risk 2","65+","BMI<30","Smoker","Comorbidity",0.0023,0.3276,0.1943,0.1985,0.7624,0.7597,0.7611,0.8181,0.812,0.8138
"5",12,"Risk 2","65+","BMI>40","Non Smoker","No Comorbidity",0.0009,0.3777,0.2311,0.2359,0.6822,0.6789,0.6807,0.7356,0.7277,0.7301
"6",20,"Risk 2","45-64","BMI>40","Smoker","No Comorbidity",0.0003,0.3872,0.2383,0.2432,0.693,0.6897,0.6914,0.6907,0.682,0.6846
"7",27,"Risk 2","65+","30<BMI<40","Non Smoker","Comorbidity",0.0108,0.3342,0.1991,0.2034,0.6759,0.6726,0.6743,0.7198,0.7116,0.714
"8",35,"Risk 2","45-64","30<BMI<40","Smoker","Comorbidity",0.003,0.3432,0.2055,0.2099,0.6868,0.6835,0.6852,0.6733,0.6644,0.6671
"9",15,"Risk 2","65+","BMI<30","Smoker","No Comorbidity",0.0006,0.2443,0.138,0.1412,0.7588,0.756,0.7575,0.812,0.8058,0.8077
"10",9,"Risk 3","65+","30<BMI<40","Non Smoker","No Comorbidity",0.0024,0.2499,0.1416,0.1449,0.6715,0.6682,0.6699,0.7116,0.7033,0.7058
"11",17,"Risk 3","45-64","30<BMI<40","Smoker","No Comorbidity",0.0027,0.2575,0.1465,0.1499,0.6825,0.6792,0.6809,0.6645,0.6555,0.6582
"12",29,"Risk 3","45-64","BMI>40","Non Smoker","Comorbidity",0.0082,0.3499,0.2105,0.2149,0.5876,0.5839,0.5858,0.5432,0.5332,0.5362
