"","Pr","age.0.19","Age20.44","Age45.64","Age65.","SexMale","SmokingYes","ComorbidityYes"
"1",0.202,0,1,0,0,0,0,0
"2",0.258663796374798,0,0,1,0,0,0,0
"3",0.324753953790523,0,0,0,1,0,0,0
"4",0.241218930376115,0,1,0,0,1,0,0
"5",0.30468372396066,0,0,1,0,1,0,0
"6",0.376559620021922,0,0,0,1,1,0,0
"7",0.324878383580005,0,1,0,0,0,1,0
"8",0.398785968722568,0,0,1,0,0,1,0
"9",0.477612392525986,0,0,0,1,0,1,0
"10",0.376692826019093,0,1,0,0,1,1,0
"11",0.454453217294581,0,0,1,0,1,1,0
"12",0.534500640960153,0,0,0,1,1,1,0
"13",0.217399481936645,0,1,0,0,0,0,1
"14",0.276884204710502,0,0,1,0,0,0,1
"15",0.345460372992138,0,0,0,1,0,0,1
"16",0.258639229145257,0,1,0,0,1,0,1
"17",0.324725859019233,0,0,1,0,1,0,1
"18",0.398619233155071,0,0,0,1,1,0,1
"19",0.345588676032793,0,1,0,0,0,1,1
"20",0.421267822024348,0,0,1,0,0,1,1
"21",0.500836192679822,0,0,0,1,0,1,1
"22",0.398755251488998,0,1,0,0,1,1,1
"23",0.477580426697741,0,0,1,0,1,1,1
"24",0.557538308964856,0,0,0,1,1,1,1
"25",0,1,0,0,0,1,0,0
"26",0,1,0,0,0,0,0,0
