"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","Age0.19","Age20.44","Age45.64","Age65.","ObesityBMI.30","ObesityBMI30.40","ObesityBMI.40","SmokingYes","ComorbidityYes"
"1",0.146,0.132,0.141,0.111,0.093,0.194,0.194,0.142,0.154,1,0,0,0,1,0,0,0,0
"2",0.002,0,0.001,0,0,0.006,0.003,0,0.001,1,0,0,0,0,1,0,0,0
"3",0.001,0,0,0,0,0.002,0.002,0,0.001,1,0,0,0,0,0,1,0,0
"4",0.107,0.14,0.124,0.155,0.177,0.122,0.151,0.132,0.138,0,1,0,0,1,0,0,0,0
"5",0.079,0.122,0.113,0.108,0.128,0.064,0.093,0.104,0.101,0,0,1,0,1,0,0,0,0
"6",0.016,0.029,0.031,0.023,0.043,0.017,0.024,0.024,0.027,0,0,0,1,1,0,0,0,0
"7",0.016,0.019,0.032,0.022,0.015,0.041,0.037,0.021,0.019,0,1,0,0,0,1,0,0,0
"8",0.02,0.02,0.022,0.019,0.01,0.025,0.022,0.018,0.024,0,0,1,0,0,1,0,0,0
"9",0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.001,0.003,0,0,0,1,0,1,0,0,0
"10",0.005,0.004,0.005,0.006,0.006,0.013,0.009,0.005,0.005,0,1,0,0,0,0,1,0,0
"11",0.002,0.005,0.008,0.004,0.004,0.003,0.005,0.004,0.003,0,0,1,0,0,0,1,0,0
"12",0,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0,1,0,0,1,0,0
"13",0.048,0.032,0.03,0.043,0.028,0.026,0.023,0.034,0.03,0,1,0,0,1,0,0,1,0
"14",0.019,0.013,0.013,0.014,0.008,0.011,0.01,0.014,0.012,0,0,1,0,1,0,0,1,0
"15",0.001,0,0,0.001,0,0,0.002,0,0,0,0,0,1,1,0,0,1,0
"16",0.012,0.006,0.002,0.004,0.003,0.008,0.005,0.001,0.006,0,1,0,0,0,1,0,1,0
"17",0.003,0.002,0.002,0.005,0.001,0.002,0.003,0.002,0.002,0,0,1,0,0,1,0,1,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"19",0.001,0.001,0.001,0.001,0,0.003,0.001,0,0.001,0,1,0,0,0,0,1,1,0
"20",0.001,0,0,0,0,0.002,0,0.001,0,0,0,1,0,0,0,1,1,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"22",0.117,0.106,0.103,0.128,0.121,0.114,0.095,0.105,0.11,0,1,0,0,1,0,0,0,1
"23",0.159,0.161,0.16,0.145,0.178,0.103,0.128,0.17,0.143,0,0,1,0,1,0,0,0,1
"24",0.053,0.074,0.07,0.061,0.089,0.035,0.05,0.072,0.061,0,0,0,1,1,0,0,0,1
"25",0.03,0.018,0.023,0.025,0.013,0.045,0.024,0.03,0.02,0,1,0,0,0,1,0,0,1
"26",0.047,0.032,0.036,0.032,0.024,0.049,0.042,0.037,0.04,0,0,1,0,0,1,0,0,1
"27",0.008,0.01,0.009,0.009,0.007,0.017,0.016,0.009,0.007,0,0,0,1,0,1,0,0,1
"28",0.008,0.008,0.01,0.007,0.007,0.011,0.011,0.007,0.011,0,1,0,0,0,0,1,0,1
"29",0.012,0.006,0.008,0.008,0.004,0.02,0.01,0.007,0.01,0,0,1,0,0,0,1,0,1
"30",0.003,0.004,0.004,0.002,0.001,0.002,0.005,0.002,0.006,0,0,0,1,0,0,1,0,1
"31",0.033,0.017,0.024,0.028,0.02,0.022,0.02,0.026,0.03,0,1,0,0,1,0,0,1,1
"32",0.024,0.019,0.01,0.022,0.01,0.015,0.006,0.016,0.016,0,0,1,0,1,0,0,1,1
"33",0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.003,0.002,0,0,0,1,1,0,0,1,1
"34",0.01,0.005,0.006,0.007,0.001,0.008,0.003,0.003,0.007,0,1,0,0,0,1,0,1,1
"35",0.006,0.006,0.002,0.002,0,0.009,0.003,0.003,0.003,0,0,1,0,0,1,0,1,1
"36",0.001,0,0,0,0,0,0,0.001,0,0,0,0,1,0,1,0,1,1
"37",0.005,0.001,0.001,0.003,0.002,0.004,0.003,0,0.002,0,1,0,0,0,0,1,1,1
"38",0.002,0,0.002,0.001,0.001,0.002,0.001,0.001,0,0,0,1,0,0,0,1,1,1
"39",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
